Model,Capacity,range(km),maintenance cost per hour,Price(USD)
Cessna 172,4,1285,946.16,232309.94
Cessna 172,4,1285,2510.93,282260.94
Boeing 737,162,5700,2328.5,60468768.39
Airbus A320,180,6300,3696.9,77383976.78
Boeing 737,162,5700,4930.59,63685426.33
Cessna 172,4,1285,1784.32,367302
Bombardier CRJ200,50,3000,1604.55,10800957.48
Bombardier CRJ200,50,3000,3995.7,24656547.06
Bombardier CRJ200,50,3000,853.82,16834712.2
Airbus A320,180,6300,1617.29,147416324.7
Bombardier CRJ200,50,3000,3581.26,15273288.95
Boeing 737,162,5700,1575.49,108597304.1
Boeing 737,162,5700,588.43,86969077.11
Boeing 777,396,15600,4845.24,435402909.8
Boeing 737,162,5700,1159.74,66803404.73
Boeing 777,396,15600,4055.37,676372720.9
Cessna 172,4,1285,1890.13,203676.01
Airbus A350,350,14800,3963.79,488327743.9
Bombardier CRJ200,50,3000,2329.08,15257143.96
Boeing 777,396,15600,2677.45,373393941.6
Bombardier CRJ200,50,3000,4123.04,12790480.35
Boeing 737,162,5700,1801.18,150943234.5
Cessna 172,4,1285,3403.18,239009.13
Cessna 172,4,1285,4821.65,229148.31
Boeing 737,162,5700,3496.76,74436271.28
Boeing 737,162,5700,559.77,62946225.8
Boeing 777,396,15600,824.96,488755367.9
Boeing 777,396,15600,2764.49,490433856.2
Airbus A350,350,14800,3417.16,726100383.9
Airbus A350,350,14800,4425.78,342870665.9
Airbus A320,180,6300,3320.75,78627340.33
Airbus A350,350,14800,4116.62,610697917.9
Bombardier CRJ200,50,3000,2547.31,12575838.27
Bombardier CRJ200,50,3000,1096.12,21171023.79
Boeing 737,162,5700,2380.93,107655148.4
Airbus A320,180,6300,4352.69,76512188.02
Boeing 737,162,5700,4436.45,104709545
Airbus A350,350,14800,3739.99,519176648.9
Boeing 737,162,5700,4050.11,74452073.62
Bombardier CRJ200,50,3000,3376.41,14948192.81
Airbus A350,350,14800,1070.61,742312276
Airbus A320,180,6300,3171.09,69090321.18
Airbus A320,180,6300,3651.57,140539523.2
Airbus A320,180,6300,976.08,83419730.19
Bombardier CRJ200,50,3000,2910.6,20809252.89
Cessna 172,4,1285,4316.91,274025.25
Cessna 172,4,1285,4310.53,145814.79
Bombardier CRJ200,50,3000,2315.84,15401925.43
Boeing 737,162,5700,1572.52,61520328.45
Cessna 172,4,1285,2689.17,316198.6
Boeing 777,396,15600,4771.77,381682409
Bombardier CRJ200,50,3000,1259.87,12662068.14
Boeing 777,396,15600,2982.71,588942640.1
Airbus A320,180,6300,2512.86,72820076.66
Airbus A350,350,14800,1595.6,387474984.5
Bombardier CRJ200,50,3000,3917.84,14350410.08
Cessna 172,4,1285,2024.3,204738.02
Cessna 172,4,1285,1422.41,264323.3
Airbus A350,350,14800,2086.38,363092268.7
Boeing 777,396,15600,1936.51,391286878.1
Bombardier CRJ200,50,3000,2718.64,22757753.13
Boeing 777,396,15600,1381.91,474108032.4
Bombardier CRJ200,50,3000,4654.79,13850253.31
Airbus A350,350,14800,1713.84,566527267.1
Boeing 777,396,15600,734.11,532629799
Boeing 737,162,5700,517.63,67190242.3
Cessna 172,4,1285,2793.77,226945.3
Airbus A320,180,6300,1180.69,145871839.6
Boeing 777,396,15600,2928.48,698592532.2
Bombardier CRJ200,50,3000,581.13,12902849.62
Cessna 172,4,1285,3368.31,396067.78
Cessna 172,4,1285,2598.69,354982.77
Cessna 172,4,1285,2805.17,223945.41
Cessna 172,4,1285,3312.91,238951.67
Cessna 172,4,1285,726.45,390402.71
Airbus A320,180,6300,1343.06,102220913.7
Airbus A320,180,6300,1112.25,151000660.9
Boeing 777,396,15600,1196.54,370266438.5
Cessna 172,4,1285,1645.99,288350.13
Airbus A350,350,14800,2333.34,453344572.3
Boeing 737,162,5700,745.29,117886733.1
Cessna 172,4,1285,2803.72,374210.71
Cessna 172,4,1285,1389.61,218677.82
Airbus A320,180,6300,3170.73,73021496.56
Cessna 172,4,1285,1110.32,459392.6
Bombardier CRJ200,50,3000,3638.44,16347699.61
Boeing 737,162,5700,1595.49,66476382.09
Airbus A320,180,6300,1441.88,72313179.34
Boeing 777,396,15600,4640.18,461572251.4
Bombardier CRJ200,50,3000,906.89,11082343.22
Boeing 777,396,15600,2310.17,432889444.4
Airbus A350,350,14800,2734.32,309450665.8
Bombardier CRJ200,50,3000,3977.78,11580346.16
Bombardier CRJ200,50,3000,1190.36,17335056.34
Boeing 777,396,15600,4093.04,382740371.2
Cessna 172,4,1285,1356.72,377411.44
Airbus A350,350,14800,1046.17,655977473.7
Boeing 777,396,15600,4013.07,757618965.6
Boeing 737,162,5700,2993.45,103139561
Airbus A350,350,14800,2204.17,422620706.9
Airbus A350,350,14800,4400.7,487719146.6
Airbus A350,350,14800,4639.07,642704827.4
Boeing 737,162,5700,3906.17,102018991.6
Airbus A350,350,14800,1250.54,355616510.1
Boeing 737,162,5700,2587.14,101358797.6
Boeing 777,396,15600,2018.65,441177408.1
Airbus A320,180,6300,3288.12,61189998.57
Cessna 172,4,1285,4263.31,213768.67
Airbus A320,180,6300,4916.4,116158890
Bombardier CRJ200,50,3000,1863.8,12784119.36
Bombardier CRJ200,50,3000,795.32,17503522.46
Airbus A320,180,6300,3158.9,127712534.9
Bombardier CRJ200,50,3000,4296.56,13811764.15
Airbus A320,180,6300,4220.91,84550728.09
Cessna 172,4,1285,1433.8,412581.36
Airbus A320,180,6300,4404.75,146559370.5
Boeing 737,162,5700,1142.54,114641995
Boeing 737,162,5700,4782.66,59298748.76
Airbus A320,180,6300,3760.51,122422074.6
Cessna 172,4,1285,4023.16,423758.04
Boeing 737,162,5700,2220.63,123373002.7
Boeing 737,162,5700,2192.86,72207455.35
Cessna 172,4,1285,2127.96,319941.35
Airbus A320,180,6300,3518.27,80608036.32
Cessna 172,4,1285,3755.91,210555.6
Airbus A320,180,6300,3414.74,146960902.7
Cessna 172,4,1285,2955.87,264821.12
Bombardier CRJ200,50,3000,866.63,23872752.57
Airbus A350,350,14800,2600.07,708153023.8
Boeing 737,162,5700,669.05,67974316.97
Airbus A350,350,14800,1594.06,488215283.1
Boeing 737,162,5700,1257.06,52064622.81
Cessna 172,4,1285,1613.58,413294.65
Airbus A320,180,6300,3429.37,130693203.5
Airbus A320,180,6300,1731.5,114332681.4
Cessna 172,4,1285,3183.16,213889.11
Cessna 172,4,1285,668.88,208622.07
Airbus A350,350,14800,4643.47,576148278
Cessna 172,4,1285,4752.58,422042.57
Bombardier CRJ200,50,3000,792.05,22752952.68
Cessna 172,4,1285,2549.6,236969.19
Boeing 737,162,5700,2105.47,114614109
Airbus A320,180,6300,3488.06,116142324.8
Boeing 777,396,15600,4709.85,750893407.3
Bombardier CRJ200,50,3000,4855.39,21887275.56
Airbus A350,350,14800,3202.41,453671188.4
Airbus A350,350,14800,3007.63,346748954.7
Boeing 777,396,15600,1758.95,703451860.4
Airbus A350,350,14800,3875.72,342053736.6
Boeing 737,162,5700,4957.89,50295091.66
Cessna 172,4,1285,2482.71,213230.51
Boeing 737,162,5700,3578.94,81378585.38
Airbus A320,180,6300,768.93,82333586.99
Boeing 777,396,15600,1980.83,425783294
Airbus A350,350,14800,715.02,716238648.9
Boeing 777,396,15600,4354.57,384252139
Airbus A350,350,14800,2234.99,554504690.5
Cessna 172,4,1285,3928.7,213262.02
Airbus A350,350,14800,762.07,383083285.3
Cessna 172,4,1285,2462.32,380901.46
Airbus A320,180,6300,3746.52,79407371.06
Cessna 172,4,1285,4467.36,326855.63
Boeing 777,396,15600,2987.17,784915293.3
Bombardier CRJ200,50,3000,1067.62,16934049.56
Airbus A320,180,6300,4859.67,189291287.7
Bombardier CRJ200,50,3000,786.21,9876431.96
Bombardier CRJ200,50,3000,4579.94,11222778.52
Airbus A320,180,6300,3269.43,120835791.4
Boeing 777,396,15600,1693.53,644830555.6
Bombardier CRJ200,50,3000,4769.56,22298023.35
Boeing 737,162,5700,4703.15,63891709.75
Bombardier CRJ200,50,3000,3460.77,12374852.61
Airbus A320,180,6300,3712.81,116880021.1
Airbus A350,350,14800,2827.09,332341299.6
Boeing 777,396,15600,3166.22,400804486.2
Boeing 737,162,5700,3301.59,113771801.4
Bombardier CRJ200,50,3000,4777.27,12870432.1
Cessna 172,4,1285,2409.67,345378.61
Boeing 777,396,15600,2348.67,774102008.3
Airbus A320,180,6300,4847.1,143523174.3
Airbus A350,350,14800,1498.01,369723931.6
Bombardier CRJ200,50,3000,1405.29,18791155.08
Airbus A320,180,6300,881.45,78249026.3
Cessna 172,4,1285,3971.63,356830.25
Airbus A320,180,6300,735.5,156350776.6
Bombardier CRJ200,50,3000,4304.8,10164465.53
Airbus A320,180,6300,4303.98,151208522
Airbus A320,180,6300,4913.43,72935530.48
Airbus A350,350,14800,4066.43,403424081.2
Airbus A350,350,14800,799.97,525836284.9
Airbus A320,180,6300,2995.79,120268732.7
Bombardier CRJ200,50,3000,4667.87,11924924.92
Cessna 172,4,1285,3511.92,209184.09
Cessna 172,4,1285,2569.74,395601.02
Boeing 777,396,15600,4852.98,376540783.9
Cessna 172,4,1285,2726.72,216636.64
Airbus A350,350,14800,1149.96,827259656.3
Boeing 777,396,15600,2003.47,393924774.9
Cessna 172,4,1285,3924.53,214043.86
Boeing 737,162,5700,2148.29,91412791.51
Boeing 777,396,15600,1327.16,352731198.7
Boeing 777,396,15600,1196.79,687873642.9
Boeing 777,396,15600,2239.08,656883082.8
Cessna 172,4,1285,3029.5,323193.79
Boeing 777,396,15600,4640.17,546963772.7
Airbus A350,350,14800,2167.21,631101285.7
Airbus A350,350,14800,3511.19,380276954.2
Boeing 737,162,5700,2618.15,83065400.16
Airbus A320,180,6300,2542.81,147454984.3
Airbus A320,180,6300,2228.09,77466368.38
Boeing 777,396,15600,1028.76,695013999.6
Boeing 737,162,5700,4643.4,78574013.58
Boeing 777,396,15600,2147.13,430470119.4
Bombardier CRJ200,50,3000,2854.79,13668936.59
Cessna 172,4,1285,4714.57,190653.43
Boeing 777,396,15600,4412.94,474612838.9
Cessna 172,4,1285,1398.51,202866.55
Bombardier CRJ200,50,3000,2757.65,23606979.87
Airbus A350,350,14800,2682.83,337736038.3
Bombardier CRJ200,50,3000,4182.62,12799757.16
Airbus A320,180,6300,3001.42,85867287.01
Airbus A320,180,6300,2354.08,148622413.2
Airbus A320,180,6300,3377.19,94567645.06
Boeing 737,162,5700,4580.9,125624938.7
Airbus A350,350,14800,3903.6,627350471.4
Cessna 172,4,1285,2725.69,200883.12
Boeing 777,396,15600,4543.69,617515816.4
Airbus A350,350,14800,3585.71,578537168.7
Airbus A350,350,14800,1577.16,352264513.5
Boeing 777,396,15600,1630.36,487912225.9
Cessna 172,4,1285,3075.28,197915.33
Cessna 172,4,1285,2060.23,298551.39
Cessna 172,4,1285,1994,222622.69
Boeing 777,396,15600,1183.91,564481112.2
Airbus A320,180,6300,1608.57,106657081.2
Bombardier CRJ200,50,3000,1092.69,16739113.84
Boeing 777,396,15600,2998.83,426371079.3
Bombardier CRJ200,50,3000,3449.46,11580165
Cessna 172,4,1285,3623.59,230441.89
Boeing 777,396,15600,2176.96,674789652.4
Airbus A320,180,6300,4055.59,132685759.9
Airbus A320,180,6300,3546.67,91045807.54
Cessna 172,4,1285,3478.37,249298.19
Airbus A320,180,6300,4139.86,137853002.9
Airbus A320,180,6300,2205.3,108160134.8
Boeing 777,396,15600,2567.06,480893389.2
Boeing 777,396,15600,3476.6,598850282.6
Cessna 172,4,1285,943.46,232034.82
Bombardier CRJ200,50,3000,4356.63,12743435.21
Bombardier CRJ200,50,3000,902.03,11158542.88
Cessna 172,4,1285,3975.2,262188.38
Airbus A320,180,6300,4224.12,72052055.73
Airbus A320,180,6300,2018.12,118159887.9
Airbus A320,180,6300,4826.95,87817011.1
Airbus A320,180,6300,4700.55,144069464.1
Cessna 172,4,1285,1224.43,255820.54
Boeing 777,396,15600,2646.99,405942045.1
Cessna 172,4,1285,3556.27,223864.79
Boeing 737,162,5700,1869.38,52373972.98
Airbus A320,180,6300,506.43,80368224.64
Bombardier CRJ200,50,3000,4996.43,13515923.04
Bombardier CRJ200,50,3000,1762.05,12830848.87
Boeing 777,396,15600,4067.78,438856322.3
Cessna 172,4,1285,4887.89,206281.98
Boeing 737,162,5700,1007.78,90223603.39
Boeing 777,396,15600,3362.48,659832870
Airbus A320,180,6300,3815.58,127214911.3
Bombardier CRJ200,50,3000,4951.76,22546898.34
Airbus A320,180,6300,2764.1,61111719.04
Boeing 777,396,15600,3781.58,808486131.3
Airbus A350,350,14800,4216.5,581825079.6
Airbus A350,350,14800,2293.15,561268755.7
Airbus A350,350,14800,4827.25,680717085.2
Airbus A320,180,6300,941.2,144515800.4
Airbus A350,350,14800,2449.63,595140488.7
Cessna 172,4,1285,3827.64,239557.65
Boeing 737,162,5700,3982.98,56316780.13
Airbus A320,180,6300,557.7,75352436.3
Bombardier CRJ200,50,3000,1560.05,11993045.31
Boeing 777,396,15600,4367.76,899709112.1
Airbus A350,350,14800,4888.6,288566418.2
Boeing 777,396,15600,1468.71,658708264.9
Airbus A350,350,14800,3542.42,460998596.6
Airbus A320,180,6300,4691.95,84961163.45
Bombardier CRJ200,50,3000,4568.51,12103009.14
Boeing 777,396,15600,2149.87,344674518.9
Airbus A320,180,6300,3195.55,78456460.45
Boeing 737,162,5700,1520.41,64112462.71
Cessna 172,4,1285,587.31,216892.86
Airbus A350,350,14800,3325.81,609981164.6
Boeing 737,162,5700,823.58,68111667.31
Airbus A320,180,6300,4809.95,63529004.69
Airbus A350,350,14800,2267.78,399270371.4
Airbus A320,180,6300,3101.32,71688110.34
Bombardier CRJ200,50,3000,3290.01,12082574.84
Cessna 172,4,1285,4351.66,202449.34
Boeing 737,162,5700,3959.44,117868767.3
Boeing 777,396,15600,3952.55,565915335.9
Cessna 172,4,1285,4744.38,171474.79
Airbus A350,350,14800,1430.92,373578754.3
Cessna 172,4,1285,2572.62,188262.22
Cessna 172,4,1285,4685.02,337392.33
Bombardier CRJ200,50,3000,4130.19,22655373.82
Airbus A350,350,14800,1940.27,554837976.9
Bombardier CRJ200,50,3000,670.03,18580734.59
Boeing 777,396,15600,1681.3,628898907.3
Airbus A320,180,6300,4331.7,73557460.98
Boeing 777,396,15600,2372.32,448378373.7
Boeing 777,396,15600,1813.4,372404735.5
Boeing 737,162,5700,2207.15,54894102.22
Airbus A320,180,6300,4704.85,106970994.9
Airbus A350,350,14800,1446.24,583619806
Bombardier CRJ200,50,3000,2313.67,18557520.87
Boeing 777,396,15600,3641.32,372586711.9
Boeing 777,396,15600,2422.01,695785304.4
Boeing 737,162,5700,4764.31,118235038.9
Airbus A320,180,6300,2740.77,95698291.46
Airbus A350,350,14800,4153.85,460997012.5
Airbus A320,180,6300,3048.45,152329762.7
Airbus A350,350,14800,1114.26,365992616.5
Boeing 737,162,5700,2510.47,100431147.2
Airbus A320,180,6300,4187.29,149949282.1
Bombardier CRJ200,50,3000,3661.83,25238230.51
Boeing 777,396,15600,2891.03,773596798.3
Cessna 172,4,1285,1841.68,222855.13
Airbus A320,180,6300,4291.5,75392855.73
Airbus A320,180,6300,1395.18,94680753.31
Bombardier CRJ200,50,3000,773.07,13572407.76
Airbus A350,350,14800,3869.02,431867442.2
Cessna 172,4,1285,3970.59,330198.87
Boeing 777,396,15600,4706.7,342634434.9
Boeing 737,162,5700,4291.41,93133487.02
Airbus A320,180,6300,1208.17,58521690.44
Boeing 777,396,15600,4761.06,388551501.2
Airbus A350,350,14800,4678.28,367038632.4
Boeing 737,162,5700,3501.67,71046534.31
Airbus A350,350,14800,674.6,315762748.8
Airbus A350,350,14800,4240.61,339212172.8
Boeing 777,396,15600,2900.99,486474552.2
Boeing 737,162,5700,1585.6,76429812.7
Airbus A320,180,6300,1758.53,73545271.86
Airbus A350,350,14800,2769.19,365642688.6
Airbus A350,350,14800,2103.82,368220813.8
Boeing 777,396,15600,2978.11,485091513.4
Boeing 737,162,5700,680.31,79330370.79
Airbus A350,350,14800,2225.67,326431051.5
Boeing 737,162,5700,3136,69504022.47
Bombardier CRJ200,50,3000,2505.78,11633971.52
Bombardier CRJ200,50,3000,2919.61,10057062.5
Airbus A350,350,14800,4027.87,672197744
Boeing 777,396,15600,4696.92,413747311.4
Bombardier CRJ200,50,3000,3782.85,11998234.95
Cessna 172,4,1285,4452.14,292311.79
Boeing 777,396,15600,4684.42,526898581.5
Boeing 777,396,15600,4111.95,396536721.3
Boeing 737,162,5700,4548.26,124772756.4
Boeing 737,162,5700,3546.92,67838913.57
Airbus A350,350,14800,1089.57,401989790
Airbus A320,180,6300,1196.79,74183508.3
Boeing 737,162,5700,2142.71,75801225.71
Boeing 737,162,5700,2766.61,64686905.68
Bombardier CRJ200,50,3000,3082.89,20808173.03
Cessna 172,4,1285,2010.24,222059.86
Boeing 737,162,5700,2447.45,70986971.56
Airbus A350,350,14800,1894.31,429665303.3
Cessna 172,4,1285,909.21,221302.21
Boeing 737,162,5700,2105.25,65888033.91
Bombardier CRJ200,50,3000,4260.07,12569397.03
Cessna 172,4,1285,541.24,207788.89
Airbus A350,350,14800,4815.61,365309412.7
Cessna 172,4,1285,626.86,406056.45
Airbus A350,350,14800,4466.69,387907624.3
Bombardier CRJ200,50,3000,2336.18,15303279.73
Bombardier CRJ200,50,3000,2827.03,12871384.25
Boeing 737,162,5700,4583.58,113498339.7
Airbus A350,350,14800,2903.16,593529770.5
Cessna 172,4,1285,817.07,241880.17
Cessna 172,4,1285,1960.28,206854.73
Boeing 777,396,15600,3520.87,352982140.2
Airbus A350,350,14800,2688.99,384521447.2
Cessna 172,4,1285,3510.74,234055.99
Cessna 172,4,1285,4755.99,197877.02
Boeing 777,396,15600,4701.17,431964559.2
Boeing 777,396,15600,3892.16,691869575.7
Bombardier CRJ200,50,3000,3964.88,16938396.74
Bombardier CRJ200,50,3000,4830.64,13024585.5
Cessna 172,4,1285,2832.46,242092.58
Airbus A320,180,6300,1914.95,79487880.45
Boeing 737,162,5700,3331.49,143886280.4
Airbus A350,350,14800,3700.05,367441916.3
Bombardier CRJ200,50,3000,1680.87,20424771.3
Airbus A320,180,6300,2673.56,164059252.8
Boeing 777,396,15600,935.68,489565248.4
Boeing 777,396,15600,4962.59,397873526.1
Cessna 172,4,1285,1551.31,356925.1
Boeing 737,162,5700,4010.38,52479525.29
Boeing 737,162,5700,2758.71,71924527.26
Airbus A350,350,14800,3019.51,323209126.5
Boeing 737,162,5700,4157.3,109370190.6
Airbus A350,350,14800,1089.86,660328579.4
Cessna 172,4,1285,2832.8,379769.78
Cessna 172,4,1285,4702.94,201644.45
Boeing 777,396,15600,2224.24,338180725.9
Bombardier CRJ200,50,3000,2553.43,12157558.67
Airbus A320,180,6300,1163.54,124176745.5
Boeing 737,162,5700,3045.86,87727637.75
Boeing 737,162,5700,4527.88,70477092.99
Bombardier CRJ200,50,3000,4366.96,15771691.97
Bombardier CRJ200,50,3000,541.9,12814944.82
Boeing 777,396,15600,707.31,614296946.1
Bombardier CRJ200,50,3000,3259.27,9556405.63
Boeing 737,162,5700,3478.56,64011929.19
Boeing 737,162,5700,1780.3,56884386.39
Airbus A320,180,6300,3508.46,133582612.2
Airbus A320,180,6300,4340.28,75024592.89
Bombardier CRJ200,50,3000,1693.78,12746299.3
Bombardier CRJ200,50,3000,727.28,9774779.57
Bombardier CRJ200,50,3000,3741.68,18729926.96
Bombardier CRJ200,50,3000,3514.79,11345865.26
Cessna 172,4,1285,4126.51,236788.95
Airbus A350,350,14800,2681.86,641091035.7
Boeing 737,162,5700,1943.2,62540329.63
Cessna 172,4,1285,2435.79,274715.12
Boeing 777,396,15600,1856.55,824404449.1
Cessna 172,4,1285,3066.41,438977.9
Boeing 777,396,15600,1132.25,430263951.2
Boeing 777,396,15600,2951.97,407170105.8
Bombardier CRJ200,50,3000,4767.91,15791600.9
Boeing 777,396,15600,977.59,730121545.1
Cessna 172,4,1285,1223.21,348884.27
Airbus A350,350,14800,2138.54,548362254.4
Boeing 777,396,15600,1080.66,504311580.8
Airbus A350,350,14800,682.64,460770256.9
Bombardier CRJ200,50,3000,4248.47,12110537.44
Cessna 172,4,1285,1864.76,224742.16
Airbus A320,180,6300,798.82,82368978.33
Boeing 777,396,15600,2492.31,384904081.1
Boeing 777,396,15600,1607,472661426.9
Boeing 777,396,15600,806.05,656965434.8
Cessna 172,4,1285,1465.54,378887.82
Airbus A320,180,6300,1468.6,68151647.69
Airbus A350,350,14800,4739.83,378655309
Airbus A320,180,6300,724.01,72997114.62
Cessna 172,4,1285,3444.06,210750.56
Boeing 777,396,15600,3622.39,437926566.6
Cessna 172,4,1285,2806.59,229073.02
Airbus A320,180,6300,3679.89,58719142.11
Boeing 777,396,15600,1981.95,770729590.4
Airbus A350,350,14800,1257.98,623851247.4
Cessna 172,4,1285,4932.18,422420.28
Boeing 737,162,5700,3670.22,106550389.1
Boeing 737,162,5700,2932.75,48837259.42
Boeing 777,396,15600,2719.61,521189762.3
Boeing 737,162,5700,1350.85,70460713.37
Bombardier CRJ200,50,3000,947.73,24869061.81
Bombardier CRJ200,50,3000,1044.32,17172597.48
Boeing 737,162,5700,3149.65,70513462.14
Boeing 737,162,5700,2439.42,68767601.61
Cessna 172,4,1285,3593.47,219441.28
Cessna 172,4,1285,926.33,200945.67
Boeing 737,162,5700,3424.39,105667175.7
Airbus A350,350,14800,4146.17,508918367.5
Cessna 172,4,1285,1231.24,329386.37
Airbus A320,180,6300,3587.11,108534951.6
Airbus A350,350,14800,3075.83,356678174.7
Boeing 777,396,15600,2136.25,411827889.7
Cessna 172,4,1285,2408.83,188130.79
Airbus A350,350,14800,1643.66,481303595.5
Airbus A350,350,14800,1871.42,523060231.5
Bombardier CRJ200,50,3000,886.6,12814391.15
Airbus A350,350,14800,2256.69,564281826.5
Airbus A350,350,14800,2611.3,462221448.1
Cessna 172,4,1285,3486.8,200207.5
Cessna 172,4,1285,1788.01,322545.33
Airbus A320,180,6300,603.71,73660598.57
Airbus A350,350,14800,1448.18,375825958
Cessna 172,4,1285,3376.68,205440.95
Bombardier CRJ200,50,3000,1103.91,17964951.02
Boeing 777,396,15600,3008.41,415993869.3
Boeing 777,396,15600,3428.73,350338039.7
Bombardier CRJ200,50,3000,1705.43,13756390.55
Airbus A320,180,6300,4421,77456711.04
Airbus A350,350,14800,1513.43,799623002.7
Airbus A350,350,14800,2657.55,363838123
Airbus A320,180,6300,2180.5,167935029.5
Airbus A320,180,6300,4264.79,66049166.63
Bombardier CRJ200,50,3000,4180.57,13380928.26
Cessna 172,4,1285,4418.59,212200.78
Boeing 737,162,5700,3503.37,53147828.94
Boeing 737,162,5700,4421.98,60099558.83
Airbus A350,350,14800,2477.59,357871924.1
Airbus A320,180,6300,2316.41,135011090.8
Airbus A320,180,6300,3196.75,127397582.2
Boeing 777,396,15600,992.1,721227044.2
Cessna 172,4,1285,4375.01,173665.7
Bombardier CRJ200,50,3000,826.59,25195628.86
Airbus A350,350,14800,2942.95,583259160.8
Cessna 172,4,1285,1062.9,227466.42
Airbus A320,180,6300,2367.49,79003321.31
Airbus A320,180,6300,3230.1,161211944.6
Boeing 737,162,5700,1783.6,95067207.77
Boeing 737,162,5700,4041.39,64112835.93
Bombardier CRJ200,50,3000,3021.57,9280791.79
Bombardier CRJ200,50,3000,2096.81,16293374.92
Boeing 737,162,5700,3382.17,77620755.72
Airbus A350,350,14800,880.92,372357825.1
Cessna 172,4,1285,4281.99,180696.63
Airbus A350,350,14800,4050.68,558468266.8
Boeing 737,162,5700,1363.43,53974043.6
Cessna 172,4,1285,3159.12,285678.9
Bombardier CRJ200,50,3000,4233.4,13052585.28
Airbus A320,180,6300,4755.53,119789914.2
Boeing 777,396,15600,3337.65,728439765.4
Bombardier CRJ200,50,3000,1348.85,13726955.82
Boeing 777,396,15600,3809.84,805172794.9
Boeing 777,396,15600,1010.24,820381786.2
Airbus A320,180,6300,4639.42,122252161.5
Boeing 737,162,5700,4192.89,127486860.5
Airbus A350,350,14800,1166.45,292129557.1
Boeing 777,396,15600,537.6,463313216.8
Boeing 777,396,15600,4624.89,540612552.5
Airbus A320,180,6300,3523.01,93965397.87
Airbus A350,350,14800,2378.52,619112509.3
Cessna 172,4,1285,2848.38,419232.76
Airbus A320,180,6300,3762.11,99361068.68
Cessna 172,4,1285,1029.01,192367.44
Boeing 777,396,15600,3111.03,752772625.7
Airbus A350,350,14800,1940.82,639172068.8
Airbus A320,180,6300,2014.03,132845627.4
Cessna 172,4,1285,1909.32,342964.96
Airbus A320,180,6300,1603.76,84920863.71
Bombardier CRJ200,50,3000,1942.41,19206552.13
Airbus A350,350,14800,4374.65,388941790.9
Cessna 172,4,1285,1207.56,260257.58
Boeing 737,162,5700,4503.59,108684172.5
Bombardier CRJ200,50,3000,4555.3,15084312.18
Boeing 777,396,15600,1965.12,386642500.3
Boeing 737,162,5700,3503.08,75880298.51
Airbus A350,350,14800,753.5,328874782.4
Bombardier CRJ200,50,3000,2525.11,18991831.49
Boeing 777,396,15600,1241.23,380690321.3
Boeing 737,162,5700,2815.57,68933402.23
Boeing 737,162,5700,825.03,96974385.11
Boeing 777,396,15600,829.61,774344997.6
Cessna 172,4,1285,3723.46,231167.35
Airbus A320,180,6300,2646.46,79219462.22
Boeing 737,162,5700,4000.45,70547741.06
Bombardier CRJ200,50,3000,2108.81,20332160.05
Cessna 172,4,1285,4419.35,423899.5
Bombardier CRJ200,50,3000,3963.98,23356743.04
Airbus A320,180,6300,2829.33,107133260.1
Airbus A350,350,14800,3871.92,374153069
Airbus A320,180,6300,3267.06,84022005.98
Airbus A350,350,14800,921.46,341202419.5
Airbus A350,350,14800,1878.08,413167818.2
Bombardier CRJ200,50,3000,825.61,12771065
Boeing 737,162,5700,4711.97,53886470.31
Cessna 172,4,1285,2364.93,283301.89
Boeing 777,396,15600,4985.07,521251637
Airbus A350,350,14800,3401.24,550367867.2
Cessna 172,4,1285,2918.21,273475.15
Boeing 777,396,15600,650.42,493107520.2
Bombardier CRJ200,50,3000,825.69,17554370.95
Cessna 172,4,1285,1504.65,350957.7
Bombardier CRJ200,50,3000,2993.26,12026296.8
Boeing 737,162,5700,524.07,87398096.5
Boeing 737,162,5700,4701.56,57931157.99
Cessna 172,4,1285,2873.55,279912.4
Boeing 737,162,5700,4615.77,98956881.46
Cessna 172,4,1285,3493.73,356222.46
Airbus A320,180,6300,3811.79,81102881.98
Airbus A350,350,14800,2585.26,407894177.8
Airbus A350,350,14800,1861.88,345258699.8
Boeing 777,396,15600,1212.27,716406741.9
Bombardier CRJ200,50,3000,1612.43,17328059.17
Airbus A350,350,14800,1679.16,706664649.1
Boeing 737,162,5700,3262.31,100459912.7
Airbus A320,180,6300,2261.92,154076126.8
Cessna 172,4,1285,1771.43,245715.96
Airbus A350,350,14800,963.26,477238695.5
Boeing 737,162,5700,1620.25,63680612.69
Cessna 172,4,1285,2003.97,236992.82
Boeing 737,162,5700,4537.84,59835007.21
Bombardier CRJ200,50,3000,2549.76,23145587.8
Airbus A320,180,6300,2038.71,83715438.95
Boeing 737,162,5700,609.76,75715972.22
Boeing 777,396,15600,2429.99,407822515.5
Bombardier CRJ200,50,3000,3772.09,13815542.62
Cessna 172,4,1285,670.19,358972.64
Airbus A350,350,14800,4938.57,670814335.8
Boeing 737,162,5700,1656.29,66305801.36
Cessna 172,4,1285,1503.91,412214.32
Airbus A320,180,6300,1534.63,71167174.6
Bombardier CRJ200,50,3000,1640.72,12248187.58
Boeing 777,396,15600,2094.91,449520173.7
Airbus A350,350,14800,2353.34,414609712.6
Airbus A320,180,6300,4748.43,77154111.21
Airbus A320,180,6300,3023.13,75371466.52
Boeing 777,396,15600,1427.91,345080516
Airbus A350,350,14800,1212.29,655981781.5
Boeing 737,162,5700,2223.81,124241992.4
